date,prize_1st,prize_pre_3digit,prize_sub_3digits,prize_2digits
16/07/2008,257374,[],"['344', '401', '486', '576']",41
01/07/2008,943671,[],"['096', '287', '490', '523']",50
16/06/2008,729111,[],"['339', '345', '639', '870']",75
01/06/2008,414875,[],"['370', '666', '747', '916']",35
16/05/2008,329231,[],"['193', '120', '355', '214']",69
02/05/2008,453011,[],"['001', '133', '001', '792']",62
16/04/2008,982800,[],"['008', '043', '584', '802']",64
01/04/2008,012653,[],"['124', '195', '200', '586']",71
16/03/2008,074946,[],"['077', '974', '085', '158']",33
01/03/2008,936685,[],"['056', '085', '371', '691']",05
16/02/2008,137054,[],"['344', '512', '630', '892']",80
01/02/2008,212684,[],"['311', '472', '732', '796']",26
16/01/2008,556010,[],"['413', '548', '942', '965']",81
30/12/2007,595411,[],"['267', '490', '741', '787']",81
16/12/2007,513501,[],"['425', '432', '460', '702']",96
16/11/2007,562481,[],"['130', '198', '752', '844']",73
01/11/2007,927907,[],"['213', '277', '524', '648']",88
16/10/2007,032988,[],"['158', '663', '685', '846']",48
01/10/2007,430667,[],"['090', '104', '126', '667']",76
16/09/2007,499336,[],"['247', '273', '604', '608']",45
01/09/2007,331810,[],"['293', '505', '518', '520']",69
16/08/2007,476207,[],"['234', '236', '312', '424']",93
01/08/2007,429924,[],"['006', '048', '885', '962']",29
16/07/2007,527384,[],"['105', '183', '334', '947']",77
01/07/2007,565151,[],"['146', '287', '638', '949']",76
16/06/2007,393194,[],"['424', '589', '907', '989']",41
01/06/2007,836393,[],"['242', '433', '523', '739']",05
16/05/2007,232897,[],"['585', '751', '858', '924']",25
02/05/2007,430374,[],"['442', '553', '729', '881']",81
16/04/2007,405105,[],"['013', '522', '866', '987']",63
01/04/2007,622780,[],"['022', '677', '794', '814']",93
16/03/2007,876763,[],"['001', '191', '350', '906']",85
01/03/2007,742425,[],"['294', '801', '942', '949']",61
16/02/2007,277859,[],"['384', '607', '625', '979']",95
01/02/2007,769925,[],"['239', '287', '865', '893']",56
16/01/2007,838739,[],"['263', '293', '803', '845']",54
30/12/2006,778584,[],"['164', '403', '811', '971']",07
